"Num","Variable","Category","Message"
22,"ULOut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: O, Db-Wh, Wh-Db, Wh-Yl, Db-Yl, Db-O, Db-dg, Db-Db-Db, Db-Db-O, Db-Db-Wh, Db-Db-Dg, Rd-Rd, Rd-Yl, Rd-O, Rd-Bk, Yl-Rd, Yl-Yl, Yl-Dg, Yl-Db, Yl-O, Yl-Bk, O-Rd, O-Yl, Bk-Rd, Bk-Yl, Dg-Rd, Db-Rd, Bk-O, Rd-Db, Rd-Dg, Rd-Lb, Geo-Bk, Geo-Rd, Geo-Yl, Lb-Flag, Flag-Bk, Flag-Dg, Lb , Geo-Dg, Geo-Flag, Bk-Bk, K-Yl, Geo-GYl"
23,"LLOut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Dg-Db-Rd, Dg-Dg-Rd, Dg-Rd-Rd, Dg-Yl-Yl, Dg-Yl-Dg, Dg-Yl-Db, Dg-Yl-Rd, Dg-Dg-Yl, Dg-Dg-Dg, Dg-Dg-Db, Yl-Yl-Yl, Yl-Yl-Dg, Yl-Yl-Db, Yl-Yl-Rd, Yl-Dg-Yl, Yl-Dg-Dg, Yl-Dg-Db, Yl-Dg-Rd, Yl-Db-Yl, Db-Yl-Yl, Db-Yl-Dg, Db-Yl-Db, Db-Yl-Rd, Db-Rd-Dg, Db-Dg-Rd, Db-Dg-Db, Db-Dg-Dg, Db-Rd-Rd, Db-Rd-Db, Db-Rd-Yl, Db-Db-Rd, Db-Db-Dg, Db-Db-Yl, Db-Db-Db, Yl-G-B, Dg-Rd-Db, Yl-Db-Dg, Dg-Db-Dg, Dg-Rd-Dg, Yl-Rd-Dg, Rd-Rd-Rd, O, Db-Db, Db-O, Db-Wh, Db-Dg, Db-Yl, Dg-Dg, Dg-Db, A"
24,"UROut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Db-A, Geo-Flag, Rd-Yl, Rd-Dg, Rd-Db, Yl-Rd, Yl-Dg, Yl-Db, Dg-Rd, Dg-Yl, Dg-Db, Db-Rd, Dg-Dg, Geo-Yl, A, Geo-Dg, O, Geo-Db, Geo-O, Geo-Wh, Geo-Rd, flag"
25,"LROut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Yl-A, A, Rd-Bk, O-Yl, Rd-Db, Lb-Rd, Rd-Yl, Rd-Dg, O-Dg, Lb-Db, Lb-bk, Lb-Lb, Lb-O, Lb-Dg, Lb-Yl, O-Rd, Rd-Rd, Rd-Lb, Lb-GYl, Rd-GYl, Yl-Lb"
26,"HowSexed","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: CP"
27,"FlightFeatherMolt","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary:  N"
28,"TagType1","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: VHF"
29,"TagType2","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: VHF"
30,"BandNumberIn","allowNull","Dataset variable contains blank values, which is not consistent with ""allowNull"" in dictionary "
31,"BandNumberOut","allowNull","Dataset variable contains blank values, which is not consistent with ""allowNull"" in dictionary "
32,"BBLStatus","allowNull","Dataset variable contains blank values, which is not consistent with ""allowNull"" in dictionary "
33,"BandNumberIn","dataType","Dataset variable is detected as a different datatype (character) than indicated in dictionary (integer)"
34,"BBLStatus","dataType","Dataset variable is detected as a different datatype (integer) than indicated in dictionary (character varying)"
35,"BroodPatch","dataType","Dataset variable is detected as a different datatype (integer) than indicated in dictionary (character)"
36,"PlatformID1","dataType","Dataset variable is detected as a different datatype (integer) than indicated in dictionary (character varying)"
37,"Date1","dataType","Dataset variable has entry value(s) not in standard ISO 1806 datetime format"
38,"Date2","dataType","Dataset variable has entry value(s) not in standard ISO 1806 datetime format"
39,"SpeciesCode","dataType","Dataset variable has entry value(s) with a greater length (1596) than allowed for the datatype (255)"
40,"Feather","dataType","Dataset variable has a greater number of distinct values (3) than allowed for the datatype (2)"
41,"SpeciesCode","dataType","Dataset variable has entry values with more than one length (2) while the datatype indicates values should be ""fixed length"""
42,"FlightFeatherMolt","dataType","Dataset variable has entry values with more than one length (2) while the datatype indicates values should be ""fixed length"""
43,"TotalHead_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
44,"NaresTip_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
45,"CulmenLength_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
46,"CulmenLength_mm","unitsResolution","Dataset variable contains entry value(s) with higher resolution than ""unitsResolution"" in dictionary"
47,"CulmenDepth_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
48,"CulmenDepth_mm","unitsResolution","Dataset variable contains entry value(s) with higher resolution than ""unitsResolution"" in dictionary"
49,"CulmenWidth_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
50,"CulmenWidth_mm","unitsResolution","Dataset variable contains entry value(s) with higher resolution than ""unitsResolution"" in dictionary"
51,"Tarsus_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
52,"Tarsus_mm","unitsResolution","Dataset variable contains entry value(s) with higher resolution than ""unitsResolution"" in dictionary"
53,"Wing_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
54,"Tail_mm","unitsResolution","Dataset variable contains entry value(s) with lower resolution than ""unitsResolution"" in dictionary"
55,"BandNumberIn","fieldWidth","Dataset variable contains entry value(s) that exceeds ""fieldWidth"" in dictionary"
56,"BBLStatus","missingValue","Dataset variable contains blank values rather than ""missingValue"" in dictionary: NA"
57,"ULIn","missingValue","Dataset variable contains blank values rather than ""missingValue"" in dictionary: N/A"
58,"LLIn","missingValue","Dataset variable contains blank values rather than ""missingValue"" in dictionary: na"
59,"URIn","missingValue","Dataset variable contains blank values rather than ""missingValue"" in dictionary: NULL"
60,"Day","minValue","Dataset variable contains entry value(s) less than ""minValue"" in dictionary"
61,"TotalHead_mm","maxValue","Dataset variable contains entry value(s) greater than ""maxValue"" in dictionary"
62,"NaresTip_mm","maxValue","Dataset variable contains entry value(s) greater than ""maxValue"" in dictionary"
63,"CulmenLength_mm","maxValue","Dataset variable contains entry value(s) greater than ""maxValue"" in dictionary"
